product,price,rating,image_link,product_link
"Google Pixel 7a (Coral, 128 GB)  (8 GB RAM)","30,999",4.1,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/i/a/r/-original-imagtrf9qm3dufq9.jpeg?q=70&crop=false,https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=googlephone&store=tyy%2F4io&srno=s_1_3&otracker=search&iid=ffd3dcba-3355-4470-93ba-8d47046c8c8a.MOBGT5F26QJYZUZS.SEARCH&ssid=zrsy7a1ujk0000001731768847371&qH=f9b8e3f6630d2a6e
"Google Pixel 8 (Hazel, 256 GB)  (8 GB RAM)","44,999",4.4,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/e/y/x/-original-imagtwh5zrcy9hfj.jpeg?q=70&crop=false,https://www.flipkart.com/google-pixel-8-hazel-256-gb/p/itm67e2a2531aaac?pid=MOBGT5F2R7MCUSWG&lid=LSTMOBGT5F2R7MCUSWGNYZQSJ&marketplace=FLIPKART&q=googlephone&store=tyy%2F4io&srno=s_1_4&otracker=search&iid=ffd3dcba-3355-4470-93ba-8d47046c8c8a.MOBGT5F2R7MCUSWG.SEARCH&ssid=zrsy7a1ujk0000001731768847371&qH=f9b8e3f6630d2a6e
"Google Pixel 9 (Porcelain, 256 GB)  (12 GB RAM)","79,999",4.6,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/d/y/m/pixel-9-ga05843-in-google-original-imah3pfgd9zadkyx.jpeg?q=70&crop=false,https://www.flipkart.com/google-pixel-9-porcelain-256-gb/p/itm5364256d5efe2?pid=MOBH2HJG3HNTSRYT&lid=LSTMOBH2HJG3HNTSRYTUHOV85&marketplace=FLIPKART&q=googlephone&store=tyy%2F4io&srno=s_1_5&otracker=search&iid=ffd3dcba-3355-4470-93ba-8d47046c8c8a.MOBH2HJG3HNTSRYT.SEARCH&ssid=zrsy7a1ujk0000001731768847371&qH=f9b8e3f6630d2a6e
"Google Pixel 8 (Obsidian, 128 GB)  (8 GB RAM)","41,999",4.4,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/n/0/q/-original-imagtwh6ehjjzqhu.jpeg?q=70&crop=false,https://www.flipkart.com/google-pixel-8-obsidian-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F2KGVNAPYY&lid=LSTMOBGT5F2KGVNAPYYWJKL43&marketplace=FLIPKART&q=googlephone&store=tyy%2F4io&srno=s_1_6&otracker=search&iid=ffd3dcba-3355-4470-93ba-8d47046c8c8a.MOBGT5F2KGVNAPYY.SEARCH&ssid=zrsy7a1ujk0000001731768847371&qH=f9b8e3f6630d2a6e
"Google Pixel 8 (Rose, 128 GB)  (8 GB RAM)","41,999",4.4,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/r/s/6/-original-imagtwh4bzret3a8.jpeg?q=70&crop=false,https://www.flipkart.com/google-pixel-8-rose-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F22JFCABET&lid=LSTMOBGT5F22JFCABETVKHMHM&marketplace=FLIPKART&q=googlephone&store=tyy%2F4io&srno=s_1_7&otracker=search&iid=ffd3dcba-3355-4470-93ba-8d47046c8c8a.MOBGT5F22JFCABET.SEARCH&ssid=zrsy7a1ujk0000001731768847371&qH=f9b8e3f6630d2a6e
"Google Pixel 8 (Hazel, 128 GB)  (8 GB RAM)","41,999",4.4,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/e/y/x/-original-imagtwh5zrcy9hfj.jpeg?q=70&crop=false,https://www.flipkart.com/google-pixel-8-hazel-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F2WD8HPTPZ&lid=LSTMOBGT5F2WD8HPTPZ4A9QHI&marketplace=FLIPKART&q=googlephone&store=tyy%2F4io&srno=s_1_8&otracker=search&iid=ffd3dcba-3355-4470-93ba-8d47046c8c8a.MOBGT5F2WD8HPTPZ.SEARCH&ssid=zrsy7a1ujk0000001731768847371&qH=f9b8e3f6630d2a6e
"Google Pixel 9 Pro (Obsidian, 256 GB)  (16 GB RAM)","1,09,999",4.5,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/m/p/j/-original-imah5mtpdzrutn3c.jpeg?q=70&crop=false,https://www.flipkart.com/google-pixel-9-pro-obsidian-256-gb/p/itm20409981866f4?pid=MOBH2HJGHBFE2GZR&lid=LSTMOBH2HJGHBFE2GZRHGV4QM&marketplace=FLIPKART&q=googlephone&store=tyy%2F4io&srno=s_1_9&otracker=search&iid=ffd3dcba-3355-4470-93ba-8d47046c8c8a.MOBH2HJGHBFE2GZR.SEARCH&ssid=zrsy7a1ujk0000001731768847371&qH=f9b8e3f6630d2a6e
"Google Pixel 9 Pro XL (Porcelain, 256 GB)  (16 GB RAM)","1,24,999",4.6,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/q/b/g/-original-imah3zznscgh3fgk.jpeg?q=70&crop=false,https://www.flipkart.com/google-pixel-9-pro-xl-porcelain-256-gb/p/itm23d7e159c924d?pid=MOBH2HJGE33F8KHN&lid=LSTMOBH2HJGE33F8KHNQBQOW2&marketplace=FLIPKART&q=googlephone&store=tyy%2F4io&srno=s_1_10&otracker=search&iid=ffd3dcba-3355-4470-93ba-8d47046c8c8a.MOBH2HJGE33F8KHN.SEARCH&ssid=zrsy7a1ujk0000001731768847371&qH=f9b8e3f6630d2a6e
"Google Pixel 9 (Obsidian, 256 GB)  (12 GB RAM)","79,999",4.6,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/r/r/w/pixel-9-ga05842-in-google-original-imah3pfhxtjf5t8q.jpeg?q=70&crop=false,https://www.flipkart.com/google-pixel-9-obsidian-256-gb/p/itm330ed8ebeefe1?pid=MOBH2HJGP3FGTECW&lid=LSTMOBH2HJGP3FGTECWIRLKP1&marketplace=FLIPKART&q=googlephone&store=tyy%2F4io&srno=s_1_11&otracker=search&iid=ffd3dcba-3355-4470-93ba-8d47046c8c8a.MOBH2HJGP3FGTECW.SEARCH&ssid=zrsy7a1ujk0000001731768847371&qH=f9b8e3f6630d2a6e
"Google Pixel 9 (Wintergreen, 256 GB)  (12 GB RAM)","79,999",4.6,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/6/2/x/pixel-9-ga05844-in-google-original-imah3pfjs25yjvfy.jpeg?q=70&crop=false,https://www.flipkart.com/google-pixel-9-wintergreen-256-gb/p/itmcead5185c21a8?pid=MOBH2HJG6KBBMPRF&lid=LSTMOBH2HJG6KBBMPRFC8AYRM&marketplace=FLIPKART&q=googlephone&store=tyy%2F4io&srno=s_1_12&otracker=search&iid=ffd3dcba-3355-4470-93ba-8d47046c8c8a.MOBH2HJG6KBBMPRF.SEARCH&ssid=zrsy7a1ujk0000001731768847371&qH=f9b8e3f6630d2a6e
